ID,Nomination_ID,Jury_ID,Rating,Rating_Datetime,Active
261,7,proflal8,50,26:28.7,1
262,9,proflal8,40,35:23.5,1
263,19,proflal8,55,24:37.7,1
264,37,proflal8,55,37:51.5,1
265,49,proflal8,60,33:15.6,1
266,53,proflal8,65,51:09.7,1
267,73,proflal8,65,08:04.0,1
268,85,proflal8,65,20:21.8,1
269,97,proflal8,85,19:05.7,1
270,43,drshinj4,66,07:39.5,1
271,47,drshinj4,68,07:02.0,1
272,59,drshinj4,67,06:46.7,1
273,62,drshinj4,62,06:28.9,1
274,65,drshinj4,78,06:05.6,1
275,66,drshinj4,68,05:40.9,1
276,68,drshinj4,72,05:21.7,1
277,72,drshinj4,78,05:03.3,1
278,98,proflal8,75,39:50.9,1
279,107,proflal8,60,46:22.7,1
280,74,drshinj4,64,04:43.7,1
281,80,drshinj4,70,04:25.6,1
282,84,drshinj4,69,04:12.7,1
283,37,drchand10,50,22:31.0,1
284,48,drchand10,75,23:13.2,1
285,90,drshinj4,74,03:59.0,1
286,91,drshinj4,70,03:19.0,1
287,100,drshinj4,67,02:56.6,1
288,12,drchitr15,74,04:04.4,1
289,116,proflal8,75,46:03.9,1
290,136,proflal8,65,58:30.1,1
291,16,drchitr15,92,04:14.2,1
292,112,drshinj4,64,02:31.7,1
293,115,drshinj4,72,02:10.0,1
294,120,drshinj4,77,01:36.9,1
295,121,drshinj4,60,26:10.2,1
296,122,drshinj4,60,01:08.8,1
297,126,drshinj4,70,00:51.9,1
298,131,drshinj4,76,00:35.4,1
299,137,drshinj4,62,00:13.0,1
300,59,drchitr15,76,04:51.0,1
301,12,proflal8,80,30:27.8,1
302,16,proflal8,65,39:27.0,1
303,39,proflal8,90,30:17.8,1
304,43,proflal8,75,42:45.2,1
305,47,proflal8,78,04:00.9,1
306,59,proflal8,65,09:31.8,1
307,62,proflal8,65,16:06.2,1
308,65,proflal8,85,29:39.9,1
309,66,proflal8,75,35:58.3,1
310,68,proflal8,80,50:50.0,1
311,72,proflal8,80,00:33.7,1
312,74,proflal8,85,06:18.4,1
313,47,drchitr15,72,00:05.8,1
314,39,drchitr15,84,04:27.9,1
315,43,drchitr15,72,04:40.4,1
316,62,drchitr15,78,05:03.9,1
317,65,drchitr15,80,05:13.4,1
318,66,drchitr15,68,05:22.9,1
319,68,drchitr15,94,05:34.0,1
320,72,drchitr15,85,05:42.5,1
321,74,drchitr15,86,05:53.3,1
322,80,drchitr15,76,06:04.6,1
323,84,drchitr15,86,06:14.6,1
324,90,drchitr15,70,06:25.7,1
325,91,drchitr15,82,06:41.8,1
326,100,drchitr15,92,06:56.6,1
327,112,drchitr15,90,07:09.5,1
328,115,drchitr15,86,07:22.7,1
329,120,drchitr15,78,07:35.4,1
330,121,drchitr15,70,07:47.6,1
331,122,drchitr15,78,07:59.6,1
332,126,drchitr15,84,08:12.6,1
333,131,drchitr15,76,08:34.3,1
334,137,drchitr15,88,08:47.8,1
335,140,drchitr15,82,09:00.5,1
336,2,drchitr15,80,00:35.3,1
337,5,drchitr15,86,09:12.8,1
338,80,proflal8,85,37:15.9,1
339,7,drchitr15,66,09:24.4,1
340,9,drchitr15,64,09:36.6,1
341,84,proflal8,88,47:54.5,1
342,90,proflal8,75,53:06.2,1
343,91,proflal8,80,59:19.0,1
344,100,proflal8,80,07:04.2,1
345,2,proflal8,65,08:39.4,1
346,5,proflal8,90,09:33.1,1
347,140,proflal8,80,18:55.3,1
348,137,proflal8,75,21:43.6,1
349,112,proflal8,80,41:45.4,1
350,115,proflal8,90,03:20.6,1
351,120,proflal8,65,50:13.5,1
352,121,proflal8,55,56:03.1,1
353,122,proflal8,65,00:21.4,1
354,126,proflal8,78,07:37.0,1
355,131,proflal8,75,11:40.2,1
356,1,proflal8,45,16:12.1,1
357,6,proflal8,50,19:19.9,1
358,11,proflal8,65,29:22.8,1
359,37,drmandh16,85,14:14.0,1
360,12,drmandh16,60,15:10.8,1
361,16,drmandh16,60,18:41.7,1
362,39,drmandh16,85,21:42.9,1
363,18,proflal8,60,43:18.7,1
364,20,proflal8,65,50:11.3,1
365,40,proflal8,80,04:22.1,1
366,1,drahmad9,24,48:34.4,1
367,6,drahmad9,10,50:24.2,1
368,10,drahmad9,70,51:07.0,1
369,11,drahmad9,45,51:32.0,1
370,18,drahmad9,35,52:21.8,1
371,20,drahmad9,15,52:54.9,1
372,40,drahmad9,75,53:36.1,1
373,41,drahmad9,21,54:20.9,1
374,46,drahmad9,26,55:02.5,1
375,52,drahmad9,65,55:34.1,1
376,51,drahmad9,67,57:37.0,1
377,57,drahmad9,55,58:05.3,1
378,63,drahmad9,72,58:41.9,1
379,64,drahmad9,70,59:48.6,1
380,69,drahmad9,80,00:49.7,1
381,70,drahmad9,72,01:29.7,1
382,79,drahmad9,63,02:00.4,1
383,81,drahmad9,66,02:39.0,1
384,82,drahmad9,70,06:14.2,1
385,92,drahmad9,76,07:07.8,1
386,93,drahmad9,73,08:12.3,1
387,94,drahmad9,37,11:21.2,1
388,102,drahmad9,82,11:53.7,1
389,103,drahmad9,12,12:19.4,1
390,124,drahmad9,70,12:55.8,1
391,127,drahmad9,71,14:07.6,1
392,129,drahmad9,83,15:04.8,1
393,133,drahmad9,69,16:04.4,1
394,134,drahmad9,81,16:36.4,1
395,135,drahmad9,75,20:12.2,1
396,41,proflal8,65,16:47.0,1
397,46,proflal8,90,36:27.8,1
398,51,proflal8,78,50:26.3,1
399,52,proflal8,70,58:49.8,1
400,57,proflal8,70,05:11.9,1
401,63,proflal8,80,16:32.7,1
402,17,drchitr15,94,09:52.3,1
403,19,drchitr15,62,10:08.8,1
404,37,drchitr15,76,10:21.1,1
405,48,drchitr15,88,10:32.6,1
406,49,drchitr15,84,10:43.8,1
407,53,drchitr15,76,10:58.4,1
408,73,drchitr15,86,11:10.0,1
409,85,drchitr15,76,01:07.8,1
410,86,drchitr15,91,01:39.1,1
411,87,drchitr15,94,02:22.2,1
412,97,drchitr15,84,11:21.0,1
413,98,drchitr15,78,11:32.6,1
414,107,drchitr15,78,11:47.2,1
415,116,drchitr15,84,11:58.2,1
416,136,drchitr15,82,12:09.8,1
417,1,drchitr15,68,12:23.7,1
418,6,drchitr15,66,12:36.0,1
419,10,drchitr15,88,12:47.3,1
420,11,drchitr15,74,12:58.4,1
421,18,drchitr15,76,13:11.7,1
422,20,drchitr15,73,13:37.4,1
423,40,drchitr15,88,13:51.7,1
424,41,drchitr15,69,14:14.6,1
425,46,drchitr15,91,14:29.8,1
426,51,drchitr15,85,15:53.4,1
427,52,drchitr15,90,16:15.8,1
428,57,drchitr15,87,16:29.1,1
429,63,drchitr15,84,16:39.3,1
430,64,drchitr15,81,16:50.1,1
431,69,drchitr15,91,13:24.1,1
432,70,drchitr15,87,17:02.0,1
433,79,drchitr15,78,17:12.6,1
434,81,drchitr15,89,17:23.9,1
435,82,drchitr15,92,17:34.1,1
436,92,drchitr15,92,17:50.1,1
437,93,drchitr15,93,18:07.3,1
438,94,drchitr15,78,18:17.3,1
439,102,drchitr15,93,18:28.0,1
440,103,drchitr15,42,18:39.6,1
441,124,drchitr15,84,18:49.7,1
442,127,drchitr15,87,18:59.7,1
443,129,drchitr15,94,19:10.4,1
444,133,drchitr15,83,19:20.2,1
445,134,drchitr15,89,19:31.0,1
446,135,drchitr15,83,19:41.2,1
447,64,proflal8,80,42:38.1,1
448,69,proflal8,90,01:58.5,1
449,140,drshinj4,73,59:54.9,1
450,2,drshinj4,69,59:27.6,1
451,5,drshinj4,77,59:06.4,1
452,7,drshinj4,60,58:30.5,1
453,9,drshinj4,60,58:06.3,1
454,17,drshinj4,75,57:38.7,1
455,19,drshinj4,67,57:18.2,1
456,37,drshinj4,69,56:42.5,1
457,48,drshinj4,73,56:23.2,1
458,49,drshinj4,63,55:58.5,1
459,53,drshinj4,65,55:37.8,1
460,73,drshinj4,63,55:22.1,1
461,85,drshinj4,66,55:05.6,1
462,86,drshinj4,75,54:48.8,1
463,87,drshinj4,80,54:29.1,1
464,97,drshinj4,69,54:10.0,1
465,98,drshinj4,70,53:54.3,1
466,107,drshinj4,65,53:38.8,1
467,116,drshinj4,64,53:17.6,1
468,136,drshinj4,73,52:46.7,1
469,70,proflal8,78,46:48.0,1
470,79,proflal8,75,59:32.9,1
471,81,proflal8,80,12:56.1,1
472,82,proflal8,82,21:46.0,1
473,1,drshinj4,58,50:49.3,1
474,92,proflal8,82,34:17.8,1
475,6,drshinj4,55,51:23.4,1
476,10,drshinj4,70,51:50.6,1
477,11,drshinj4,59,52:16.9,1
478,18,drshinj4,50,52:28.4,1
479,20,drshinj4,57,52:47.1,1
480,40,drshinj4,77,53:05.8,1
481,41,drshinj4,65,53:19.3,1
482,46,drshinj4,77,53:34.0,1
483,51,drshinj4,72,54:00.3,1
484,52,drshinj4,72,54:13.6,1
485,57,drshinj4,68,54:26.7,1
486,63,drshinj4,69,54:43.9,1
487,64,drshinj4,65,55:00.7,1
488,69,drshinj4,73,55:15.2,1
489,70,drshinj4,74,55:34.8,1
490,79,drshinj4,73,55:51.0,1
491,81,drshinj4,74,56:07.6,1
492,82,drshinj4,76,56:21.9,1
493,92,drshinj4,64,56:34.6,1
494,93,drshinj4,62,56:47.3,1
495,94,drshinj4,60,57:00.2,1
496,93,proflal8,75,45:50.8,1
497,94,proflal8,75,58:35.9,1
498,49,drchand10,75,24:53.0,1
499,53,drchand10,55,25:13.0,1
500,73,drchand10,65,25:31.3,1
501,12,drahmad9,70,36:41.3,1
502,16,drahmad9,60,38:06.8,1
